Year,Month,fill-level
2023,9,0.827551436103414
2023,10,0.840490563454414
2023,10,0.865593559110135
2023,10,0.865547770793563
2023,10,0.847645773502705
2023,10,0.839152321344201
2023,11,0.813406605862476
2023,11,0.784040751601749
2023,11,0.761410717832866
2023,11,0.72878850623473
2023,12,0.700526453414316
2023,12,0.685638573065472
2023,12,0.694723401533235
2023,12,0.686469384113474
2024,1,0.657668645215738
2024,1,0.62189859907952
2024,1,0.588884100568202
2024,1,0.578011732133859
2024,1,0.569366269497911
2024,2,0.541552504497468
2024,2,0.512553012882453
2024,2,0.486242069811471
2024,2,0.46127916059242
2024,3,0.437198321768417
2024,3,0.418166795165741
2024,3,0.394440254663843
2024,3,0.377437750895846
2024,4,0.368825338895267
2024,4,0.403482437150485
2024,4,0.397610871133945
2024,4,0.373247137949649
2024,4,0.412119510873042
2024,5,0.460301473418648
2024,5,0.532900083833021
2024,5,0.603244910258266
2024,5,0.67641396678327
2024,6,0.708379037480206
2024,6,0.729351433185531
2024,6,0.756061284519397
2024,6,0.768050865432851
2024,7,0.773492548737062
2024,7,0.785160938076913
2024,7,0.783965054985259
2024,7,0.785409519256344
2024,7,0.771029574987908
2024,8,0.786780643662527
2024,8,0.788368308649166
2024,8,0.812131378800683
2024,8,0.827736104424296
2024,9,0.829943931757452
2024,9,0.844358048923918
2024,9,0.833224529968341
2024,9,
2024,9,
2024,10,
2024,10,
2024,10,
2024,10,
2024,11,
2024,11,
2024,11,
2024,11,
2024,12,
2024,12,
2024,12,
2024,12,
2024,12,
