Navn;Stasjon;Tid(norsk normaltid);Høyeste middelvind (døgn);Høyeste vindkast (døgn);Middel av middelvind fra hovedobs. (døgn);Snødybde
Blåsjø;SN40510;13.10.2015;7;8,4;4,6;-
Blåsjø;SN40510;14.10.2015;5,8;6,6;2,2;-
Blåsjø;SN40510;15.10.2015;6,2;7;3,3;-
Blåsjø;SN40510;16.10.2015;4,7;5,5;2,6;-
Blåsjø;SN40510;17.10.2015;3,9;4;1,5;-
Blåsjø;SN40510;18.10.2015;2,8;3;1;-
Blåsjø;SN40510;19.10.2015;3,6;3,8;1,2;-
Blåsjø;SN40510;20.10.2015;6,5;7,1;3,9;-
Blåsjø;SN40510;21.10.2015;9,4;12,5;5,9;-
Blåsjø;SN40510;22.10.2015;20,9;24,9;12,6;-
Blåsjø;SN40510;23.10.2015;17,7;22,6;8;-
Blåsjø;SN40510;24.10.2015;12;14,4;7;-
Blåsjø;SN40510;25.10.2015;15,3;18,8;10,3;-
Blåsjø;SN40510;26.10.2015;8,9;10,4;3,4;-
Blåsjø;SN40510;27.10.2015;8,3;9,4;3,8;-
Blåsjø;SN40510;28.10.2015;13,5;15,1;9,9;-
Blåsjø;SN40510;29.10.2015;14,8;17,4;9,1;-
Blåsjø;SN40510;31.10.2015;16,6;18,3;6,7;-
Blåsjø;SN40510;01.11.2015;8,4;10,2;5,4;-
Blåsjø;SN40510;02.11.2015;6,1;7,7;3,3;-
Blåsjø;SN40510;03.11.2015;5,9;7,2;2,8;-
Blåsjø;SN40510;04.11.2015;5;5,9;2,2;-
Blåsjø;SN40510;05.11.2015;9,7;11,3;6,7;-
Blåsjø;SN40510;06.11.2015;12,7;15,4;8,2;-
Blåsjø;SN40510;07.11.2015;10,8;13,8;4,8;-
Blåsjø;SN40510;08.11.2015;14,5;17,1;9,1;-
Blåsjø;SN40510;09.11.2015;20;24,6;12,7;-
Blåsjø;SN40510;10.11.2015;18;21,5;9,5;-
Blåsjø;SN40510;11.11.2015;14,9;18,6;8,2;-
Blåsjø;SN40510;12.11.2015;15,4;18,1;9,6;-
Blåsjø;SN40510;13.11.2015;14,1;16,4;6,6;-
Blåsjø;SN40510;14.11.2015;19,7;25;13,5;-
Blåsjø;SN40510;15.11.2015;16,3;18,5;5;-
Blåsjø;SN40510;16.11.2015;18,1;21,5;12,2;-
Blåsjø;SN40510;17.11.2015;13,8;16,8;8,2;-
Blåsjø;SN40510;18.11.2015;8,6;10,6;3,4;-
Blåsjø;SN40510;19.11.2015;0;0;0;-
Blåsjø;SN40510;20.11.2015;0;0;0,1;-
Blåsjø;SN40510;22.11.2015;6;6,6;2,2;-
Blåsjø;SN40510;23.11.2015;6,3;6,9;3,7;-
Blåsjø;SN40510;24.11.2015;8;9,6;3,7;-
Blåsjø;SN40510;25.11.2015;8,8;10;5,3;-
Blåsjø;SN40510;26.11.2015;10,9;11,9;5,4;-
Blåsjø;SN40510;27.11.2015;13,4;14,7;7,6;-
Blåsjø;SN40510;28.11.2015;14,4;17,2;9,8;-
Blåsjø;SN40510;29.11.2015;14,7;19,4;9,9;-
Blåsjø;SN40510;01.12.2015;17,8;20,6;7,8;-
Blåsjø;SN40510;02.12.2015;10,3;12,3;7,6;-
Blåsjø;SN40510;03.12.2015;16,9;19;8,6;-
Blåsjø;SN40510;04.12.2015;19,6;22,3;12,4;-
Blåsjø;SN40510;05.12.2015;20,8;26,3;14,1;-
Blåsjø;SN40510;06.12.2015;23,3;26,1;15,3;-
Blåsjø;SN40510;07.12.2015;24,3;27,9;7;-
Blåsjø;SN40510;08.12.2015;15,6;17,6;9,8;-
Blåsjø;SN40510;09.12.2015;16,3;18,4;11,1;-
Blåsjø;SN40510;10.12.2015;18,3;21,8;13,5;-
Blåsjø;SN40510;11.12.2015;13,4;15,2;6,6;-
Blåsjø;SN40510;12.12.2015;10,4;12;4,8;-
Blåsjø;SN40510;13.12.2015;2,9;3,4;0,3;-
Blåsjø;SN40510;14.12.2015;1,6;1,7;0,7;-
Blåsjø;SN40510;15.12.2015;3,5;3,7;1,3;-
Blåsjø;SN40510;16.12.2015;11,1;12,8;6,2;-
Blåsjø;SN40510;17.12.2015;7,7;9;3,9;-
Blåsjø;SN40510;18.12.2015;17,4;20,5;10,8;-
Blåsjø;SN40510;19.12.2015;15,1;17,5;5,6;-
Blåsjø;SN40510;20.12.2015;14;15,8;9,9;-
Blåsjø;SN40510;01.01.2016;17,1;18,5;6,4;-
Blåsjø;SN40510;02.01.2016;22,9;25;15,3;-
Blåsjø;SN40510;03.01.2016;23,2;27,2;15,9;-
Blåsjø;SN40510;04.01.2016;18,6;21,8;12,6;-
Blåsjø;SN40510;05.01.2016;13,6;15,5;9;-
Blåsjø;SN40510;06.01.2016;11,6;12,5;7,2;-
Blåsjø;SN40510;07.01.2016;13,8;16,2;10,7;-
Blåsjø;SN40510;08.01.2016;12,1;13,2;7,7;-
Blåsjø;SN40510;09.01.2016;15,2;17;11,2;-
Blåsjø;SN40510;10.01.2016;18,5;20;13,4;-
Blåsjø;SN40510;11.01.2016;19,4;21,7;7,7;-
Blåsjø;SN40510;12.01.2016;7,2;8,8;2,3;-
Blåsjø;SN40510;13.01.2016;5,1;6;3,5;-
Blåsjø;SN40510;14.01.2016;5,6;6,1;1;-
Blåsjø;SN40510;15.01.2016;0;0;0;-
Blåsjø;SN40510;16.01.2016;0,4;0,5;-;-
Blåsjø;SN40510;17.01.2016;0;0;-;-
Blåsjø;SN40510;18.01.2016;0;0;-;-
Blåsjø;SN40510;19.01.2016;0,1;0,2;-;-
Blåsjø;SN40510;21.01.2016;3,3;3,6;1,2;-
Blåsjø;SN40510;22.01.2016;16,8;19,7;7,9;-
Blåsjø;SN40510;23.01.2016;11,2;12,5;6,2;-
Blåsjø;SN40510;24.01.2016;9,9;11,8;4,6;-
Blåsjø;SN40510;25.01.2016;10,6;12,1;5,6;-
Blåsjø;SN40510;26.01.2016;17;19,7;11,2;-
Blåsjø;SN40510;27.01.2016;12,4;14;4,1;-
Blåsjø;SN40510;28.01.2016;2,9;3,4;1,9;-
Blåsjø;SN40510;29.01.2016;28,7;35,8;12,7;-
Blåsjø;SN40510;30.01.2016;24;27,7;14,3;-
Blåsjø;SN40510;31.01.2016;18,1;23,7;12,5;-
Blåsjø;SN40510;01.02.2016;22,6;26,9;13;-
Blåsjø;SN40510;02.02.2016;22,2;26,1;11,1;-
Blåsjø;SN40510;03.02.2016;12,6;14,8;9,8;-
Blåsjø;SN40510;04.02.2016;14,1;15,7;8,4;-
Blåsjø;SN40510;05.02.2016;8,5;9,5;4,5;-
Blåsjø;SN40510;06.02.2016;9,8;11,2;7;-
Blåsjø;SN40510;07.02.2016;17,4;21,6;12,1;-
Blåsjø;SN40510;08.02.2016;16,2;19,7;9;-
Blåsjø;SN40510;09.02.2016;9,7;11,2;4,2;-
Blåsjø;SN40510;10.02.2016;4,5;4,8;1,3;-
Blåsjø;SN40510;11.02.2016;7,1;8,3;3,3;-
Blåsjø;SN40510;12.02.2016;6,5;8,4;3,2;-
Blåsjø;SN40510;13.02.2016;3,9;4,3;0,9;-
Blåsjø;SN40510;14.02.2016;3,8;4;1;-
Blåsjø;SN40510;15.02.2016;3,1;3,4;0,9;-
Blåsjø;SN40510;16.02.2016;14,5;16;6,7;-
Blåsjø;SN40510;17.02.2016;18,1;20,4;11,1;-
Blåsjø;SN40510;18.02.2016;19,5;21,1;6,6;-
Blåsjø;SN40510;19.02.2016;14,6;16,6;7,7;-
Blåsjø;SN40510;20.02.2016;20,8;23,2;11,2;-
Blåsjø;SN40510;21.02.2016;16,1;19,2;12;-
Blåsjø;SN40510;22.02.2016;15,1;17,6;9,5;-
Blåsjø;SN40510;23.02.2016;15,8;18,6;9,3;-
Blåsjø;SN40510;24.02.2016;12,2;13,5;7,1;-
Blåsjø;SN40510;25.02.2016;4;4,5;2,2;-
Blåsjø;SN40510;26.02.2016;4,5;4,9;1,7;-
Blåsjø;SN40510;27.02.2016;7,4;7,7;1,9;-
Blåsjø;SN40510;28.02.2016;4;4,5;1,8;-
Blåsjø;SN40510;29.02.2016;5,4;5,7;3;-
Blåsjø;SN40510;01.03.2016;19,9;23,5;15,6;-
Blåsjø;SN40510;02.03.2016;19,3;22,5;10,1;-
Blåsjø;SN40510;03.03.2016;11,3;13;7,1;-
Blåsjø;SN40510;04.03.2016;12,1;13,3;4,3;-
Blåsjø;SN40510;05.03.2016;11,5;13,3;4,3;-
Blåsjø;SN40510;06.03.2016;11,1;13,1;6,7;-
Blåsjø;SN40510;07.03.2016;7,1;8,3;3,6;-
Blåsjø;SN40510;09.03.2016;13,1;15,3;7,2;-
Blåsjø;SN40510;10.03.2016;6;6,3;2,6;-
Blåsjø;SN40510;11.03.2016;3,1;3,5;1,4;-
Blåsjø;SN40510;12.03.2016;4,3;5,3;2,1;-
Blåsjø;SN40510;13.03.2016;6,4;7;3,5;-
Blåsjø;SN40510;14.03.2016;7;7,6;2,6;-
Blåsjø;SN40510;15.03.2016;3,5;3,8;1,4;-
Blåsjø;SN40510;16.03.2016;5,6;6,2;1,6;-
Blåsjø;SN40510;17.03.2016;9,1;10,3;3,7;-
Blåsjø;SN40510;18.03.2016;9,7;10,7;4,3;-
Blåsjø;SN40510;19.03.2016;17;18,3;8;-
Blåsjø;SN40510;20.03.2016;16,4;18,5;8;-
Blåsjø;SN40510;21.03.2016;12,9;15,3;7,5;-
Blåsjø;SN40510;22.03.2016;9,8;10,6;6,5;-
Blåsjø;SN40510;23.03.2016;11,2;12;1,7;-
Blåsjø;SN40510;24.03.2016;6,9;8,6;3,9;-
Blåsjø;SN40510;25.03.2016;13,4;14,8;5,8;-
Blåsjø;SN40510;27.03.2016;18,3;19,9;11,7;-
Blåsjø;SN40510;29.03.2016;21,9;25,3;9,5;-
Blåsjø;SN40510;30.03.2016;8,5;9,3;1,2;-
Blåsjø;SN40510;31.03.2016;13,5;15,8;7,4;-
Blåsjø;SN40510;01.04.2016;9;9,5;3,7;-
Blåsjø;SN40510;02.04.2016;11,3;13,6;6,3;-
Blåsjø;SN40510;03.04.2016;15,4;17,1;7,4;-
Blåsjø;SN40510;04.04.2016;12,5;14,8;7,5;-
Blåsjø;SN40510;05.04.2016;11,1;13,5;5,3;-
Blåsjø;SN40510;06.04.2016;7,8;9,1;4;-
Blåsjø;SN40510;07.04.2016;6,9;7,8;2,9;-
Blåsjø;SN40510;08.04.2016;8,7;9,7;4,8;-
Blåsjø;SN40510;09.04.2016;8,5;9,3;2,1;-
Blåsjø;SN40510;10.04.2016;7,4;8,6;5,1;-
Blåsjø;SN40510;11.04.2016;7,1;7,6;2,4;-
Blåsjø;SN40510;13.04.2016;9;10,5;4,2;-
Blåsjø;SN40510;14.04.2016;8;9,2;3,9;-
Blåsjø;SN40510;15.04.2016;8,1;9;2,3;-
Blåsjø;SN40510;16.04.2016;4,5;5,3;2,9;-
Blåsjø;SN40510;17.04.2016;12,2;13,7;7,1;-
Blåsjø;SN40510;19.04.2016;18,5;20,7;10,2;-
Blåsjø;SN40510;20.04.2016;11,7;13,6;7,1;-
Blåsjø;SN40510;21.04.2016;16,4;18,6;11,8;-
Blåsjø;SN40510;22.04.2016;15,1;16,4;6,1;-
Blåsjø;SN40510;23.04.2016;6,8;7,7;2,7;-
Blåsjø;SN40510;24.04.2016;6,6;7;1,9;-
Blåsjø;SN40510;25.04.2016;11;12,5;6,5;-
Blåsjø;SN40510;26.04.2016;13,2;15,6;7,1;-
Blåsjø;SN40510;27.04.2016;5,7;6,8;1,7;-
Blåsjø;SN40510;28.04.2016;7,2;8,6;3,4;-
Blåsjø;SN40510;29.04.2016;16,8;18,1;6,5;-
Blåsjø;SN40510;30.04.2016;20,9;22,8;9,9;-
Blåsjø;SN40510;01.05.2016;8,6;10,6;5,4;-
Blåsjø;SN40510;02.05.2016;18,4;20,9;11,8;-
Blåsjø;SN40510;03.05.2016;10,6;12,9;5,7;-
Blåsjø;SN40510;04.05.2016;9,5;11,4;4,5;-
Blåsjø;SN40510;05.05.2016;9;10,3;6,6;-
Blåsjø;SN40510;06.05.2016;10;12,1;4;-
Blåsjø;SN40510;07.05.2016;12;13,1;8,1;-
Blåsjø;SN40510;08.05.2016;10,1;10,8;4,1;-
Blåsjø;SN40510;09.05.2016;4,5;4,7;2,2;-
Blåsjø;SN40510;10.05.2016;4,4;4,7;2,8;-
Blåsjø;SN40510;11.05.2016;7,5;9,2;3,2;-
Blåsjø;SN40510;12.05.2016;7,5;7,6;3;-
Blåsjø;SN40510;13.05.2016;7,9;8;3,9;-
Blåsjø;SN40510;14.05.2016;6,2;7,3;3,9;-
Blåsjø;SN40510;15.05.2016;6,6;7,3;2,2;-
Blåsjø;SN40510;16.05.2016;8,2;9,4;4,5;-
Blåsjø;SN40510;17.05.2016;9,6;10,7;4,9;-
Blåsjø;SN40510;18.05.2016;7,4;8,5;3,6;-
Blåsjø;SN40510;19.05.2016;7,4;8,4;3,1;-
Blåsjø;SN40510;20.05.2016;9,3;11,2;5;-
Blåsjø;SN40510;21.05.2016;10;11,1;5,7;-
Blåsjø;SN40510;22.05.2016;9,6;10,7;4,4;-
Blåsjø;SN40510;23.05.2016;4,8;5,6;2,8;-
